stream_id;channel_name;tivione_epg_id;epgshare_id;score;method
1174228;┃UK┃ TNT SPORTS 3 HEVC HD;tntsports3.uk;TNT.Sports.3.HD.uk;1.000;EXACT_STRICT
1174229;┃UK┃ TNT SPORTS 4 HEVC HD;tntsports4.uk;TNT.Sports.4.HD.uk;1.000;EXACT_STRICT
1311899;┃UK┃ TNT SPORTS 1 FHD;tntsports1.uk;TNT.Sports.1.HD.uk;1.000;EXACT_STRICT
1311900;┃UK┃ TNT SPORTS 2 FHD;tntsports2.uk;TNT.Sports.2.HD.uk;1.000;EXACT_STRICT
1311901;┃UK┃ TNT SPORTS 3 FHD;tntsports3.uk;TNT.Sports.3.HD.uk;1.000;EXACT_STRICT
1311902;┃UK┃ TNT SPORTS 4 FHD;tntsports4.uk;TNT.Sports.4.HD.uk;1.000;EXACT_STRICT
1174236;┃UK┃ TNT SPORTS 1 HD;tntsports1.uk;TNT.Sports.1.HD.uk;1.000;EXACT_STRICT
1174237;┃UK┃ TNT SPORTS 2 HD;tntsports2.uk;TNT.Sports.2.HD.uk;1.000;EXACT_STRICT
1174238;┃UK┃ TNT SPORTS 3 HD;tntsports3.uk;TNT.Sports.3.HD.uk;1.000;EXACT_STRICT
1174239;┃UK┃ TNT SPORTS 4 HD;tntsports4.uk;TNT.Sports.4.HD.uk;1.000;EXACT_STRICT
1311948;┃UK┃ TNT SPORTS 1 SD;tntsports1.uk;TNT.Sports.1.HD.uk;1.000;EXACT_STRICT
1311950;┃UK┃ TNT SPORTS 2 SD;tntsports2.uk;TNT.Sports.2.HD.uk;1.000;EXACT_STRICT
1311951;┃UK┃ TNT SPORTS 3 SD;tntsports3.uk;TNT.Sports.3.HD.uk;1.000;EXACT_STRICT
1311952;┃UK┃ TNT SPORTS 4 SD;tntsports4.uk;TNT.Sports.4.HD.uk;1.000;EXACT_STRICT
1311953;┃UK┃ TNT SPORTS 5 SD;tntsports5.uk;TNT.Sports.5.HD.uk;1.000;EXACT_STRICT
1311954;┃UK┃ TNT SPORTS 6 SD;tntsports6.uk;TNT.Sports.6.HD.uk;1.000;EXACT_STRICT
1311955;┃UK┃ TNT SPORTS 7 SD;tntsports7.uk;TNT.Sports.7.HD.uk;1.000;EXACT_STRICT
1311956;┃UK┃ TNT SPORTS 8 SD;tntsports8.uk;TNT.Sports.8.HD.uk;1.000;EXACT_STRICT
1311957;┃UK┃ TNT SPORTS 9 SD;tntsports9.uk;TNT.Sports.9.HD.uk;1.000;EXACT_STRICT
1311958;┃UK┃ TNT SPORTS 10 SD;tntsports10.uk;TNT.Sports.10.HD.uk;1.000;EXACT_STRICT
1312031;┃UK┃ SKY SPORTS FOOTBALL HEVC FHD;skysportsfootball.uk;Sky.Sports.Football.HD.uk;1.000;EXACT_STRICT
1312802;┃UK┃ RACING TV UK HEVC FHD;racinguk.uk;Racing.TV.uk;1.000;FUZZY_STRICT
1312814;┃UK┃ MUTV HEVC FHD;mutv.uk;MUTV.HD.uk;1.000;EXACT_STRICT
1312047;┃UK┃ SKY SPORTS FOOTBALL HEVC HD;skysportsfootball.uk;Sky.Sports.Football.HD.uk;1.000;EXACT_STRICT
1312803;┃UK┃ RACING TV UK HEVC HD;racinguk.uk;Racing.TV.uk;1.000;FUZZY_STRICT
1312815;┃UK┃ MUTV HEVC HD;mutv.uk;MUTV.HD.uk;1.000;EXACT_STRICT
394555;┃UK┃ SKY SPORTS FOOTBALL FHD;skysportsfootball.uk;Sky.Sports.Football.HD.uk;1.000;EXACT_STRICT
1312818;┃UK┃ RACING TV UK FHD;racinguk.uk;Racing.TV.uk;1.000;FUZZY_STRICT
1312824;┃UK┃ MUTV FHD;mutv.uk;MUTV.HD.uk;1.000;EXACT_STRICT
1312178;┃UK┃ SKY SPORTS FOOTBALL HD;skysportsfootball.uk;Sky.Sports.Football.HD.uk;1.000;EXACT_STRICT
1312829;┃UK┃ RACING TV UK HD;racinguk.uk;Racing.TV.uk;1.000;FUZZY_STRICT
1312835;┃UK┃ MUTV HD;mutv.uk;MUTV.HD.uk;1.000;EXACT_STRICT
1312240;┃UK┃ SKY SPORTS FOOTBALL SD;skysportsfootball.uk;Sky.Sports.Football.HD.uk;1.000;EXACT_STRICT
1312837;┃UK┃ RACING TV UK SD;racinguk.uk;Racing.TV.uk;1.000;FUZZY_STRICT
1312843;┃UK┃ MUTV SD;mutv.uk;MUTV.HD.uk;1.000;EXACT_STRICT
1312729;┃UK┃ PREMIER SPORTS 1 FHD (UK);premiersports1.uk;Premier.Sports.1.HD.uk;1.000;EXACT_STRICT
1312730;┃UK┃ PREMIER SPORTS 2 FHD (UK);premiersports2.uk;Premier.Sports.2.HD.uk;1.000;EXACT_STRICT
1172385;☰☰☰☰ ┃UK┃ TNT SPORTS BOX OFFICE ☰☰☰☰;;TNT.Sports.Box.Office.uk;1.000;EXACT_STRICT
1172358;┃UK┃ TNT SPORTS BOX OFFICE FHD HEVC |;;TNT.Sports.Box.Office.uk;1.000;EXACT_STRICT
1172361;┃UK┃ TNT SPORTS BOX OFFICE FHD |;;TNT.Sports.Box.Office.uk;1.000;EXACT_STRICT
1172360;┃UK┃ TNT SPORTS BOX OFFICE HD |;;TNT.Sports.Box.Office.uk;1.000;EXACT_STRICT
1172359;┃UK┃ TNT SPORTS BOX OFFICE |;;TNT.Sports.Box.Office.uk;1.000;EXACT_STRICT
855371;┃USA┃ A&E HD [EAST];aande.us;A.and.E.HD.East.us2;1.000;EXACT_STRICT
855343;┃USA┃ BET HER HD;bether.us;BET.Her.us2;1.000;EXACT_STRICT
855354;┃USA┃ AMC+ HD;amcplus.us;AMC+.us2;1.000;EXACT_STRICT
855363;┃USA┃ CW HD;cw27wgnt.us;CW.us2;1.000;EXACT_STRICT
855342;┃USA┃ BOUNCE TV HD;bouncetv.us;Bounce.TV.us2;1.000;EXACT_STRICT
855360;┃USA┃ ACC NETWORK HD;accnetwork.us;ACC.Network.us2;1.000;EXACT_STRICT
855359;┃USA┃ ACCU WEATHER HD;;AccuWeather.HD.us2;1.000;EXACT_STRICT
